episodes,rewards
0,59.0
1,12.0
2,26.0
3,27.0
4,25.0
5,17.0
6,19.0
7,15.0
8,13.0
9,12.0
10,13.0
11,10.0
12,17.0
13,19.0
14,30.0
15,12.0
16,17.0
17,30.0
18,22.0
19,13.0
20,11.0
21,11.0
22,14.0
23,11.0
24,10.0
25,13.0
26,10.0
27,15.0
28,13.0
29,23.0
30,11.0
31,11.0
32,11.0
33,16.0
34,12.0
35,15.0
36,11.0
37,15.0
38,9.0
39,9.0
40,14.0
41,10.0
42,12.0
43,12.0
44,19.0
45,16.0
46,11.0
47,11.0
48,14.0
49,15.0
50,12.0
51,12.0
52,16.0
53,9.0
54,9.0
55,9.0
56,9.0
57,17.0
58,10.0
59,10.0
60,11.0
61,10.0
62,8.0
63,10.0
64,9.0
65,10.0
66,10.0
67,8.0
68,9.0
69,11.0
70,9.0
71,11.0
72,10.0
73,9.0
74,10.0
75,9.0
76,10.0
77,10.0
78,10.0
79,12.0
80,20.0
81,17.0
82,17.0
83,33.0
84,15.0
85,148.0
86,15.0
87,14.0
88,10.0
89,13.0
90,11.0
91,14.0
92,14.0
93,13.0
94,13.0
95,14.0
96,17.0
97,23.0
98,17.0
99,15.0
100,13.0
101,19.0
102,12.0
103,13.0
104,16.0
105,15.0
106,45.0
107,14.0
108,15.0
109,12.0
110,70.0
111,16.0
112,100.0
113,37.0
114,200.0
115,111.0
116,200.0
117,97.0
118,100.0
119,102.0
120,72.0
121,86.0
122,134.0
123,93.0
124,62.0
125,149.0
126,143.0
127,123.0
128,151.0
129,143.0
130,200.0
131,198.0
132,200.0
133,187.0
134,200.0
135,200.0
136,193.0
137,200.0
138,200.0
139,200.0
140,186.0
141,185.0
142,173.0
143,196.0
144,178.0
145,200.0
146,200.0
147,188.0
148,169.0
149,158.0
150,161.0
151,159.0
152,159.0
153,187.0
154,200.0
155,164.0
156,173.0
157,174.0
158,169.0
159,200.0
160,182.0
161,200.0
162,200.0
163,181.0
164,200.0
165,200.0
166,181.0
167,200.0
168,189.0
169,187.0
170,200.0
171,183.0
172,190.0
173,195.0
174,200.0
175,200.0
176,184.0
177,200.0
178,188.0
179,200.0
180,190.0
181,200.0
182,198.0
183,192.0
184,187.0
185,200.0
186,193.0
187,200.0
188,200.0
189,200.0
190,200.0
191,200.0
192,200.0
193,200.0
194,200.0
195,200.0
196,200.0
197,200.0
198,200.0
199,184.0
