episodes,rewards,ma_rewards
0,-1241.3760500607932,-1241.3760500607932
1,-1217.6277695969316,-1239.0012220144072
2,-1103.4896782164308,-1225.4500676346097
3,-1409.4871636857354,-1243.8537772397224
4,-1484.0356656008664,-1267.8719660758368
5,-1544.7310826377495,-1295.5578777320281
6,-812.4778045408937,-1247.2498704129148
7,-767.4136741664599,-1199.2662507882694
8,-649.1214895647074,-1144.2517746659132
9,-986.676133009036,-1128.4942105002256
10,-755.5115043449168,-1091.1959398846948
11,-1100.4870745305068,-1092.125053349276
12,-634.4884285463245,-1046.3613908689808
13,-837.2052187763427,-1025.445773659717
14,-1057.9530546458595,-1028.6965017583311
15,-263.66309059540305,-952.1931606420384
16,-928.9243518932797,-949.8662797671626
17,-1038.0446511001758,-958.684116900464
18,-940.0623536740158,-956.8219405778192
19,-922.5019656129714,-953.3899430813344
20,-630.492535823437,-921.1002023555446
21,-622.7223989362805,-891.2624220136182
22,-385.1358118898072,-840.6497610012372
23,-502.0052806413361,-806.7853129652472
24,-493.45971994684567,-775.452753663407
25,-366.7569110628481,-734.5831694033511
26,-518.6995539232652,-712.9948078553425
27,-368.50733947838756,-678.546061017647
28,-134.85456890842113,-624.1769118067244
29,-490.5349608977395,-610.8127167158259
30,-370.27412989948937,-586.7588580341923
31,-433.7454231930917,-571.4575145500822
32,-129.43537461887576,-527.2553005569616
33,-246.35181247829834,-499.16495174909534
34,-497.17447718592865,-498.96590429277865
35,-493.4125433644478,-498.41056819994554
36,-384.9084446153175,-487.06035584148276
37,-363.04177185743197,-474.6584974430777
38,-489.6546984583346,-476.1581175446034
39,-611.8724043818422,-489.7295462283273
40,-376.8588774417574,-478.4424793496703
41,-492.5268730792236,-479.85091872262564
42,-464.7740966474098,-478.3432365151041
43,-725.6904437672954,-503.07795724032326
44,-248.15630427509043,-477.5857919438
45,-372.7035414787366,-467.0975668972937
46,-127.4955389956496,-433.13736410712926
47,-328.3430015107987,-422.6579278474962
48,-486.4609064337724,-429.0382257061238
49,-247.86100470569477,-410.9205036060809
50,-146.0336260219518,-384.431815847668
51,-116.66303550350722,-357.65493781325193
52,-751.461703145576,-397.03561434648435
53,-254.52010907984888,-382.78406381982086
54,-481.08934116444465,-392.61459155428327
55,-487.8521943080975,-402.1383518296647
56,-492.2980706074627,-411.1543237074445
57,-124.34140248673988,-382.4730315853741
58,-128.4965077189911,-357.0753791987358
59,-359.77833128163155,-357.3456744070254
60,-747.5719135126585,-396.36829831758877
61,-401.1444696788071,-396.84591545371063
62,-250.34261371065665,-382.19558527940524
63,-260.9139037879444,-370.0674171302591
64,-508.23868614015026,-383.8845440312482
65,-387.1012762633908,-384.2062172544625
66,-616.2311951244669,-407.4087150414629
67,-493.37515280943745,-416.0053588182604
68,-123.77909956543893,-386.78273289297823
69,-626.3643742303618,-410.7408970267166
70,-481.4573092856916,-417.8125382526141
71,-377.9697157245744,-413.82825599981015
72,-360.5185228242656,-408.49728268225573
73,-616.7479095717952,-429.3223453712097
74,-710.3613238159387,-457.4262432156826
75,-505.6774755897043,-462.25136645308476
76,-273.55898373311453,-443.38212818108775
77,-382.36869475056375,-437.28078483803534
78,-623.6981017511678,-455.9225165293486
79,-357.0195949211193,-446.0322243685257
80,-486.708047482554,-450.0998066799286
81,-259.4175451049697,-431.0315805224327
82,-759.5883986350182,-463.8872623336913
83,-500.0047263807101,-467.4990087383932
84,-246.8802418363618,-445.43713204819005
85,-251.54344443498917,-426.04776328687
86,-662.8671769989347,-449.7297046580765
87,-369.2111764546579,-441.6778518377347
88,-243.7824973322309,-421.8883163871843
89,-518.4821573544635,-431.5477004839123
90,-371.8759034370356,-425.5805207792246
91,-491.48015658788324,-432.1704843600905
92,-232.49754945467083,-412.2031908695485
93,-401.221381794697,-411.1050099620634
94,-379.5843374623936,-407.9529427120964
95,-460.2711136064709,-413.18475980153386
96,-253.3452936089289,-397.20081318227335
97,-606.3005035710922,-418.11078222115526
98,-739.8354001908076,-450.2832440181205
99,-504.58022152958,-455.7129417692665
100,-495.0449506040918,-459.646142652749
101,-380.3701120410285,-451.7185395915769
102,-384.290508549102,-444.97573648732947
103,-375.9519319311153,-438.07335603170804
104,-512.978788723647,-445.563899300902
105,-304.8757931358699,-431.4950886843988
106,-510.4466645405594,-439.3902462700149
107,-260.061350404848,-421.4573566834983
108,-498.0087295512491,-429.1124939702734
109,-369.12372962163965,-423.11361753541
110,-380.4457746587961,-418.84683324774863
111,-256.6777540842497,-402.62992533139874
112,-445.9034140894844,-406.9572742072073
113,-506.46909057203794,-416.9084558436904
114,-376.45766122132176,-412.8633763814535
115,-496.3329746152043,-421.2103362048286
116,-380.50645979222304,-417.139948563568
117,-505.9342613974714,-426.0193798469583
118,-147.82477726549985,-398.19991958881246
119,-618.1763375540045,-420.19756138533165
120,-260.80199313994444,-404.2580045607929
121,-587.7416024761551,-422.60636435232914
122,-496.1416985916358,-429.9598977762598
123,-378.0381251494663,-424.76772051358046
124,-379.4183457401812,-420.23278303624056
125,-457.87112600599073,-423.99661733321557
126,-383.9128546937604,-419.9882410692701
127,-509.99140483459377,-428.9885574458025
128,-730.7395670599094,-459.1636584072132
129,-514.6667983827983,-464.7139724047717
130,-325.0850135926187,-450.7510765235564
131,-495.15439546904605,-455.1914084181053
132,-493.90620745229586,-459.0628883215244
133,-484.17667159393216,-461.57426664876516
134,-483.46716824444974,-463.76355680833365
135,-484.01735984279986,-465.7889371117803
136,-381.03342522086245,-457.3133859226885
137,-629.2436938939992,-474.5064167198196
138,-383.42153169518116,-465.39792821735574
139,-512.1238596061538,-470.0705213562356
140,-516.4182409718022,-474.70529331779227
141,-507.26208024906583,-477.9609720109196
142,-248.5478124286798,-455.01965605269567
143,-389.52004508775,-448.4696949562011
144,-260.86137058027776,-429.7088625186088
145,-358.9229420935365,-422.6302704761016
146,-258.26521048588484,-406.1937644770799
147,-255.79743315875004,-391.154131345247
148,-367.27170732416863,-388.76588894313915
149,-349.65152779829737,-384.854452828655
150,-630.7596247158181,-409.4449700173713
151,-375.21861647497457,-406.02233466313163
152,-512.1719525207905,-416.6372964488975
153,-498.422743215084,-424.81584112551616
154,-509.8269857125432,-433.3169555842189
155,-616.3583597715381,-451.6210960029508
156,-517.9797582944321,-458.25696223209894
157,-381.271047211382,-450.55837073002726
158,-353.70510348839065,-440.8730440058636
159,-499.35105180254294,-446.7208447855316
160,-453.1403649975888,-447.3627968067374
161,-124.35977350882737,-415.0624944769464
162,-128.27996210626014,-386.3842412398778
