episodes,rewards
0,30.0
1,22.0
2,14.0
3,20.0
4,12.0
5,10.0
6,10.0
7,12.0
8,9.0
9,14.0
10,10.0
11,16.0
12,9.0
13,11.0
14,16.0
15,12.0
16,26.0
17,32.0
18,25.0
19,36.0
20,31.0
21,86.0
22,50.0
23,45.0
24,66.0
25,58.0
26,42.0
27,49.0
28,34.0
29,21.0
30,28.0
31,29.0
32,30.0
33,41.0
34,87.0
35,108.0
36,118.0
37,116.0
38,31.0
39,23.0
40,30.0
41,25.0
42,35.0
43,39.0
44,74.0
45,90.0
46,56.0
47,62.0
48,39.0
49,25.0
50,83.0
51,70.0
52,147.0
53,51.0
54,63.0
55,113.0
56,56.0
57,36.0
58,200.0
59,155.0
60,100.0
61,63.0
62,118.0
63,103.0
64,142.0
65,136.0
66,117.0
67,117.0
68,200.0
69,200.0
70,101.0
71,63.0
72,46.0
73,91.0
74,58.0
75,87.0
76,158.0
77,91.0
78,131.0
79,101.0
80,200.0
81,133.0
82,197.0
83,200.0
84,46.0
85,43.0
86,134.0
87,186.0
88,139.0
89,153.0
90,147.0
91,200.0
92,145.0
93,143.0
94,98.0
95,200.0
96,110.0
97,117.0
98,176.0
99,145.0
100,129.0
101,188.0
102,187.0
103,196.0
104,200.0
105,200.0
106,200.0
107,200.0
108,200.0
109,166.0
110,200.0
111,200.0
112,200.0
113,120.0
114,149.0
115,129.0
116,186.0
117,200.0
118,200.0
119,200.0
120,200.0
121,187.0
122,147.0
123,150.0
124,157.0
125,200.0
126,200.0
127,200.0
128,200.0
129,200.0
130,190.0
131,169.0
132,133.0
133,154.0
134,137.0
135,181.0
136,169.0
137,188.0
138,198.0
139,200.0
140,188.0
141,123.0
142,179.0
143,189.0
144,200.0
145,200.0
146,200.0
147,200.0
148,200.0
149,200.0
150,200.0
151,200.0
152,200.0
153,172.0
154,200.0
155,114.0
156,150.0
157,130.0
158,95.0
159,144.0
160,122.0
161,146.0
162,113.0
163,96.0
164,107.0
165,173.0
166,200.0
167,200.0
168,200.0
169,200.0
170,200.0
171,200.0
172,200.0
173,200.0
174,200.0
175,200.0
176,200.0
177,200.0
178,200.0
179,200.0
180,200.0
181,200.0
182,200.0
183,200.0
184,200.0
185,200.0
186,200.0
187,200.0
188,200.0
189,200.0
190,200.0
191,200.0
192,200.0
193,200.0
194,200.0
195,200.0
196,200.0
197,200.0
198,200.0
199,200.0
