episodes,rewards
0,-141.5824443366266
1,-357.02966316513175
2,-232.40009216973135
3,-644.4779015664877
4,-311.2471431089587
5,-485.2030466400853
6,-255.52373041912583
7,-155.7803814777636
8,-325.38558172858313
9,-40.252795493624845
10,-113.17175977968571
11,-327.9598032452507
12,-399.3806672888634
13,-277.2905868627297
14,-385.10591011989516
15,-396.0530598637032
16,-525.1589757639016
17,-676.1853016238172
18,-572.2979749621074
19,-72.88896781087229
20,-570.0967007749773
21,-27.855969973681923
22,-363.10756352157466
23,-156.96779115923226
24,-251.64118487531118
25,-375.0544852637355
26,-347.05060761141704
27,-168.93923993652808
28,-24.37661598423817
29,-197.30010936647744
30,-207.60217076070256
31,-385.1059203948245
32,-473.4447520247811
33,-322.7835421268392
34,-262.705480643157
35,-270.030217118771
36,-450.71450753893413
37,-83.15477459939889
38,-142.44889461650644
39,-173.88211171233536
40,-161.82078415181354
41,-31.19395190456531
42,-96.58211866588496
43,0.911492510854103
44,-372.15578571637894
45,-28.282857407751166
46,-373.46827022659795
47,-202.04405234274645
48,-164.90794026161058
49,-3.910045377512006
50,-52.451905071536984
51,-41.73285342628228
52,-291.33409781972966
53,-137.97007753165812
54,-166.22279783751483
55,195.28404979540477
56,-177.2348291536578
57,-65.87182401674065
58,-4.980288727935715
59,-17.244119550649202
60,-59.587761702717714
61,-54.791231189040744
62,2.8266279600859434
63,-80.0458712903974
64,159.5571164245745
65,-97.23420553333405
66,-154.26261185726713
67,-114.20319916409076
68,-63.33202813745382
69,-66.70220167000055
70,-66.29970644805351
71,-11.055169764848777
72,-30.455188207548662
73,-77.75497996740808
74,-73.67768646233885
75,-16.868942134943914
76,-38.32147479084585
77,-38.58934314051873
78,-26.891202027948633
79,-64.1231657127576
80,-87.07370479745856
81,143.04780970990447
82,-60.336440664836644
83,-12.835599797695865
84,-72.33091378353666
85,-90.29637123579953
86,-137.75229042470176
87,-137.49277032888082
88,57.05244363427105
89,87.93767249184656
90,-29.18496039602394
91,100.71796636980035
92,-14.363250845864354
93,-93.56249962304355
94,-52.23611019168293
95,-67.99690141251925
96,13.648459265478653
97,-12.422263204687955
98,-118.75176898533897
99,-95.94622894260043
100,-47.03356828412606
101,-25.140420178672663
102,-7.277298033682206
103,-67.77868041276453
104,-17.036041771867136
105,-83.76965221179536
106,-22.676527511127546
107,-57.96579926083844
108,-138.91407044927115
109,13.947502783854622
110,-5.084800314640614
111,145.7873385414622
112,-64.99104243934855
113,-98.613905852356
114,-147.7601502189872
115,104.65154515477265
116,-74.59455820699745
117,149.35134804201746
118,-194.96653859682226
119,-118.05358355886783
120,-77.25738606612451
121,165.09174681790213
122,-48.481935950348266
123,-48.62796129201617
124,-73.08411300496022
125,-69.79650496754692
126,216.5494107431665
127,95.953054406743
128,132.5418072965067
129,71.56597821340401
130,-17.52204921771034
131,-89.79133549121926
132,-103.49770302150968
133,-110.89567744233311
134,-102.14722667668686
135,-136.61073397018808
136,-142.07944112806393
137,-74.06071841152259
138,-49.634459308736645
139,-141.54303241533148
140,-114.59382525951453
141,-82.59227192735848
142,-101.91802440293606
143,-89.53319070303556
144,-20.253272692957253
145,-37.77737245428017
146,-90.8233108570244
147,-182.96654441839306
148,-198.07509338629475
149,-117.91556524435065
150,-106.75241742359722
151,-105.3945978920602
152,-107.30275307340705
153,-66.8965207175282
154,-100.22901307659636
155,-98.45004727007228
156,-25.73296172660352
157,-41.93207200848715
158,-199.01309894733777
159,-156.7345801825088
160,-121.78809578010365
161,-74.08968370012107
162,-112.66270941101729
163,-134.39442733988716
164,-117.09931696366708
165,-227.87372555288408
166,-89.26715292303884
167,-95.8806928078826
168,-89.8904407047773
169,-60.11735726886259
170,-38.30987244460741
171,11.44725093154778
172,-90.37831166225524
173,-119.37833736983191
174,-153.99804350598328
175,-105.19668040227539
176,-92.50225330804955
177,-22.137820411915424
178,87.48064867159412
179,-74.49443948818609
180,94.71273283269689
181,90.02720181431451
182,76.33544515539728
183,-79.46581670092435
184,100.26972311164398
185,-111.3396703100161
186,202.53883920840758
187,31.592130107987778
188,-9.27561150041842
189,-81.95575973360094
190,-139.72111963561187
191,-58.55266644969563
192,-32.38846002761509
193,-25.85917951637409
194,-46.67994489837884
195,-17.58368985528903
196,-66.48642681630635
197,64.18938667533341
198,-115.4120636670216
199,-10.44664540019084
